id,flashscore_url,club_domaci,club_hostia,match_date,match_time,match_stadium
21,https://www.flashscore.com/match/football/arsenal-hA1Zm19f/lille-pfDZL71o/?mid=pOc8KuDl,Arsenal,Lille,13.10.2026,21:00,Emirates Stadium
22,https://www.flashscore.com/match/football/atl-madrid-jaarqpLQ/manchester-united-ppjDR086/?mid=C0GBpZVH,Atl. Madrid,Manchester Utd,13.10.2026,21:00,Metropolitano Stadium
23,https://www.flashscore.com/match/football/barcelona-SKbpVP5K/galatasaray-riaqqurF/?mid=hWJelHWh,Galatasaray,Barcelona,13.10.2026,21:00,Rams Park
24,https://www.flashscore.com/match/football/club-brugge-rgTHIK74/inter-Iw7eKK25/?mid=YkFBumlL,Inter,Club Brugge KV,13.10.2026,21:00,Stadio Giuseppe Meazza (San Siro)
25,https://www.flashscore.com/match/football/psv-M9UEHJWi/rb-leipzig-KbS1suSm/?mid=SK2I6Y53,RB Leipzig,PSV,13.10.2026,21:00,Red Bull Arena
26,https://www.flashscore.com/match/football/bayern-munich-nVp0wiqd/viking-bXAgOWwb/?mid=p8JTqdt0,Viking,Bayern Munich,13.10.2026,21:00,Lyse Arena
27,https://www.flashscore.com/match/football/napoli-69Dxbc61/villarreal-lUatW5jE/?mid=QcgCe8c2,Villarreal,Napoli,13.10.2026,21:00,Estadio de la Ceramica
28,https://www.flashscore.com/match/football/como-ttyLthOA/feyenoord-8zjySeoN/?mid=rFNyQVP7,Feyenoord,Como,14.10.2026,18:45,De Kuip
29,https://www.flashscore.com/match/football/lask-linz-MipWYeKQ/liverpool-lId4TMwf/?mid=6cITvAb3,LASK,Liverpool,14.10.2026,18:45,Raiffeisen Arena
30,https://www.flashscore.com/match/football/as-roma-zVqqL0ma/real-madrid-W8mj7MDD/?mid=4j50U1OM,AS Roma,Real Madrid,14.10.2026,21:00,Stadio Olimpico
31,https://www.flashscore.com/match/football/aston-villa-W00wmLO0/fenerbahce-MsbmracL/?mid=OhXJC6X0,Aston Villa,Fenerbahce,14.10.2026,21:00,Villa Park
32,https://www.flashscore.com/match/football/betis-vJbTeCGP/fc-porto-S2NmScGp/?mid=xt5Mx0jU,Betis,FC Porto,14.10.2026,21:00,Estadio de La Cartuja
33,https://www.flashscore.com/match/football/bodo-glimt-S0WZMUNG/dortmund-nP1i5US1/?mid=QejW1kJr,Bodo/Glimt,Dortmund,14.10.2026,21:00,Aspmyra Stadion
34,https://www.flashscore.com/match/football/manchester-city-Wtn9Stg0/psg-CjhkPw0k/?mid=UH6LCxcK,Manchester City,PSG,14.10.2026,21:00,Etihad Stadium
35,https://www.flashscore.com/match/football/aek-ANpZncAM/shakhtar-4ENWX2OA/?mid=Y1LED1zo,Shakhtar Donetsk,AEK Athens,14.10.2026,21:00,Stamford Bridge
36,https://www.flashscore.com/match/football/slovan-bratislava-QRaWdwQf/vfb-stuttgart-nJQmYp1B/?mid=pfE25bqH,Slovan Bratislava,Stuttgart,14.10.2026,21:00,Tehelné pole
37,https://www.flashscore.com/match/football/fenerbahce-MsbmracL/slavia-prague-viXGgnyB/?mid=2yMLTDQr,Fenerbahce,Slavia Prague,20.10.2026,18:45,Chobani Stadium Fenerbahce Sukru Saracoglu
38,https://www.flashscore.com/match/football/dortmund-nP1i5US1/sabah-baku-fNGcxbyr/?mid=b9lv0Tme,Sabah Baku,Dortmund,20.10.2026,18:45,Bank Respublika Arena
39,https://www.flashscore.com/match/football/as-roma-zVqqL0ma/slovan-bratislava-QRaWdwQf/?mid=CjoYQdhB,AS Roma,Slovan Bratislava,20.10.2026,21:00,Stadio Olimpico
40,https://www.flashscore.com/match/football/fc-porto-S2NmScGp/psv-M9UEHJWi/?mid=jP6EvMLH,FC Porto,PSV,20.10.2026,21:00,Estádio do Dragão
41,https://www.flashscore.com/match/football/liverpool-lId4TMwf/villarreal-lUatW5jE/?mid=2swdQAqA,Liverpool,Villarreal,20.10.2026,21:00,Anfield
42,https://www.flashscore.com/match/football/aek-ANpZncAM/manchester-city-Wtn9Stg0/?mid=djVwRmZR,Manchester City,AEK Athens,20.10.2026,21:00,Etihad Stadium
43,https://www.flashscore.com/match/football/bodo-glimt-S0WZMUNG/napoli-69Dxbc61/?mid=QiGrsUa6,Napoli,Bodo/Glimt,20.10.2026,21:00,Stadio Diego Armando Maradona
44,https://www.flashscore.com/match/football/barcelona-SKbpVP5K/psg-CjhkPw0k/?mid=6u963YJ6,PSG,Barcelona,20.10.2026,21:00,Parc des Princes
45,https://www.flashscore.com/match/football/atl-madrid-jaarqpLQ/vfb-stuttgart-nJQmYp1B/?mid=8ODjcCFN,Stuttgart,Atl. Madrid,20.10.2026,21:00,MHPArena
46,https://www.flashscore.com/match/football/como-ttyLthOA/manchester-united-ppjDR086/?mid=UTWLyE6T,Como,Manchester Utd,21.10.2026,18:45,Mapei Stadium / Stadio Giuseppe Sinigaglia
47,https://www.flashscore.com/match/football/galatasaray-riaqqurF/lille-pfDZL71o/?mid=nRzlASTh,Lille,Galatasaray,21.10.2026,18:45,Stade Pierre-Mauroy
48,https://www.flashscore.com/match/football/aston-villa-W00wmLO0/viking-bXAgOWwb/?mid=d6VRAp2D,Aston Villa,Viking,21.10.2026,21:00,Villa Park
49,https://www.flashscore.com/match/football/arsenal-hA1Zm19f/bayern-munich-nVp0wiqd/?mid=OIffEkYO,Bayern Munich,Arsenal,21.10.2026,21:00,Allianz Arena
50,https://www.flashscore.com/match/football/betis-vJbTeCGP/feyenoord-8zjySeoN/?mid=CjRjR5nf,Betis,Feyenoord,21.10.2026,21:00,Estadio de La Cartuja
51,https://www.flashscore.com/match/football/club-brugge-rgTHIK74/lens-IBmris38/?mid=hC5ThCtS,Club Brugge KV,Lens,21.10.2026,21:00,Jan Breydel Stadion
52,https://www.flashscore.com/match/football/inter-Iw7eKK25/shakhtar-4ENWX2OA/?mid=4Y5szRBr,Inter,Shakhtar Donetsk,21.10.2026,21:00,Stadio Giuseppe Meazza (San Siro)
53,https://www.flashscore.com/match/football/rb-leipzig-KbS1suSm/real-madrid-W8mj7MDD/?mid=OC3pYqPc,Real Madrid,RB Leipzig,21.10.2026,21:00,Estadio Santiago Bernabéu
54,https://www.flashscore.com/match/football/lask-linz-MipWYeKQ/sporting-cp-tljXuHBC/?mid=I7KxfeMc,Sporting CP,LASK,21.10.2026,21:00,Estádio José Alvalade
55,https://www.flashscore.com/match/football/galatasaray-riaqqurF/vfb-stuttgart-nJQmYp1B/?mid=SGSUoDnR,Galatasaray,Stuttgart,03.11.2026,18:45,Rams Park
56,https://www.flashscore.com/match/football/shakhtar-4ENWX2OA/sporting-cp-tljXuHBC/?mid=QXNphZjA,Shakhtar Donetsk,Sporting CP,03.11.2026,18:45,Stamford Bridge
57,https://www.flashscore.com/match/football/atl-madrid-jaarqpLQ/bayern-munich-nVp0wiqd/?mid=vg7E1ClJ,Atl. Madrid,Bayern Munich,03.11.2026,21:00,Metropolitano Stadium
58,https://www.flashscore.com/match/football/aston-villa-W00wmLO0/barcelona-SKbpVP5K/?mid=tGbMn4el,Barcelona,Aston Villa,03.11.2026,21:00,Camp Nou
59,https://www.flashscore.com/match/football/bodo-glimt-S0WZMUNG/lille-pfDZL71o/?mid=YqbyqjVg,Bodo/Glimt,Lille,03.11.2026,21:00,Aspmyra Stadion
60,https://www.flashscore.com/match/football/feyenoord-8zjySeoN/inter-Iw7eKK25/?mid=xK9rfn3E,Feyenoord,Inter,03.11.2026,21:00,De Kuip
61,https://www.flashscore.com/match/football/lask-linz-MipWYeKQ/slovan-bratislava-QRaWdwQf/?mid=6TK5I5v3,LASK,Slovan Bratislava,03.11.2026,21:00,Raiffeisen Arena
62,https://www.flashscore.com/match/football/as-roma-zVqqL0ma/manchester-united-ppjDR086/?mid=8rnngLzB,Manchester Utd,AS Roma,03.11.2026,21:00,Old Trafford
63,https://www.flashscore.com/match/football/psg-CjhkPw0k/villarreal-lUatW5jE/?mid=Y7dW9kaT,Villarreal,PSG,03.11.2026,21:00,Estadio de la Ceramica
64,https://www.flashscore.com/match/football/aek-ANpZncAM/real-madrid-W8mj7MDD/?mid=8nfvNJGd,AEK Athens,Real Madrid,04.11.2026,18:45,Allwyn Arena
65,https://www.flashscore.com/match/football/fenerbahce-MsbmracL/liverpool-lId4TMwf/?mid=E3VsH66d,Fenerbahce,Liverpool,04.11.2026,18:45,Chobani Stadium Fenerbahce Sukru Saracoglu
66,https://www.flashscore.com/match/football/betis-vJbTeCGP/dortmund-nP1i5US1/?mid=Ao5br4Mh,Dortmund,Betis,04.11.2026,21:00,Signal Iduna Park
67,https://www.flashscore.com/match/football/fc-porto-S2NmScGp/napoli-69Dxbc61/?mid=6Zinb7I7,FC Porto,Napoli,04.11.2026,21:00,Estádio do Dragão
68,https://www.flashscore.com/match/football/como-ttyLthOA/lens-IBmris38/?mid=QVtE7T8m,Lens,Como,04.11.2026,21:00,Stade Bollaert-Delelis
69,https://www.flashscore.com/match/football/club-brugge-rgTHIK74/psv-M9UEHJWi/?mid=ptuqtEuP,PSV,Club Brugge KV,04.11.2026,21:00,Philips Stadion
70,https://www.flashscore.com/match/football/manchester-city-Wtn9Stg0/rb-leipzig-KbS1suSm/?mid=YVOHJ5R1,RB Leipzig,Manchester City,04.11.2026,21:00,Red Bull Arena
71,https://www.flashscore.com/match/football/arsenal-hA1Zm19f/slavia-prague-viXGgnyB/?mid=nBxtZvSs,Slavia Prague,Arsenal,04.11.2026,21:00,Fortuna Arena
72,https://www.flashscore.com/match/football/sabah-baku-fNGcxbyr/viking-bXAgOWwb/?mid=4GCn9tph,Viking,Sabah Baku,04.11.2026,21:00,Lyse Arena
73,https://www.flashscore.com/match/football/bodo-glimt-S0WZMUNG/lask-linz-MipWYeKQ/?mid=pItlFEBk,Bodo/Glimt,LASK,24.11.2026,18:45,Aspmyra Stadion
74,https://www.flashscore.com/match/football/aston-villa-W00wmLO0/galatasaray-riaqqurF/?mid=OCNDYmfK,Galatasaray,Aston Villa,24.11.2026,18:45,Rams Park
75,https://www.flashscore.com/match/football/arsenal-hA1Zm19f/dortmund-nP1i5US1/?mid=vPVzwlTF,Arsenal,Dortmund,24.11.2026,21:00,Emirates Stadium
76,https://www.flashscore.com/match/football/aek-ANpZncAM/como-ttyLthOA/?mid=jiHA3xET,Como,AEK Athens,24.11.2026,21:00,Mapei Stadium / Stadio Giuseppe Sinigaglia
77,https://www.flashscore.com/match/football/fc-porto-S2NmScGp/feyenoord-8zjySeoN/?mid=6grtKluR,Feyenoord,FC Porto,24.11.2026,21:00,De Kuip
78,https://www.flashscore.com/match/football/manchester-city-Wtn9Stg0/napoli-69Dxbc61/?mid=OxXVS94F,Manchester City,Napoli,24.11.2026,21:00,Etihad Stadium
79,https://www.flashscore.com/match/football/lens-IBmris38/rb-leipzig-KbS1suSm/?mid=pxXsydY8,RB Leipzig,Lens,24.11.2026,21:00,Red Bull Arena
